path,repeatability threshold,repeatability,localization error,homography threshold,Average correctness,nn mean AP,matching score
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_180000_checkpoint.pth.tar,3,0.5944463393933589,1.0067028070664017,"[1, 3, 5, 10, 20, 50]",[0.45517241 0.75       0.81896552 0.85517241 0.89655172 0.93275862],0.8637146075249048,0.5165685956322167
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_185000_checkpoint.pth.tar,3,0.5994906280979627,1.0099724508082073,"[1, 3, 5, 10, 20, 50]",[0.46034483 0.74482759 0.81206897 0.84827586 0.89310345 0.93275862],0.8640878143507009,0.5199735664384005
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_190000_checkpoint.pth.tar,3,0.6004382147724199,1.0218484968128543,"[1, 3, 5, 10, 20, 50]",[0.47068966 0.76206897 0.81551724 0.86034483 0.88965517 0.92586207],0.8561609979130073,0.51249680892612
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_195000_checkpoint.pth.tar,3,0.5946895948755796,0.9920993901388125,"[1, 3, 5, 10, 20, 50]",[0.47586207 0.7637931  0.82413793 0.84827586 0.88965517 0.93275862],0.8643165083893646,0.5198864326757673
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_200000_checkpoint.pth.tar,3,0.599486126094419,1.0170605541616846,"[1, 3, 5, 10, 20, 50]",[0.47413793 0.76896552 0.81724138 0.84655172 0.89137931 0.93448276],0.8592616260379049,0.5155399207474882
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_20000_checkpoint.pth.tar,3,0.5944289086325121,1.0288054843002905,"[1, 3, 5, 10, 20, 50]",[0.44137931 0.72586207 0.8        0.84310345 0.88275862 0.92586207],0.8478674358991476,0.4986083313887731
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_25000_checkpoint.pth.tar,3,0.5991193935630623,1.0216324010678441,"[1, 3, 5, 10, 20, 50]",[0.44137931 0.72931034 0.79655172 0.85689655 0.88793103 0.92931034],0.8548951843671947,0.5049778079643764
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_30000_checkpoint.pth.tar,3,0.48568062707642456,1.2672753367815954,"[1, 3, 5, 10, 20, 50]",[0.20862069 0.51896552 0.6362069  0.73965517 0.80689655 0.87758621],0.7643114341633184,0.38351023671082035
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_35000_checkpoint.pth.tar,3,0.6003341551030356,1.0360586250143686,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.73965517 0.79655172 0.84310345 0.8862069  0.93275862],0.8523956016140757,0.5012569915459212
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_40000_checkpoint.pth.tar,3,0.5938900562770155,0.9986217749259915,"[1, 3, 5, 10, 20, 50]",[0.45       0.74137931 0.81034483 0.84482759 0.88275862 0.91896552],0.8563318286578898,0.5126225643477661
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_45000_checkpoint.pth.tar,3,0.5999024744139504,1.026468158908295,"[1, 3, 5, 10, 20, 50]",[0.44655172 0.75172414 0.82241379 0.85172414 0.8862069  0.92586207],0.8533397768237836,0.5061293832993843
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_50000_checkpoint.pth.tar,3,0.5966511810539175,1.0173923702513576,"[1, 3, 5, 10, 20, 50]",[0.47758621 0.74655172 0.81034483 0.84655172 0.88448276 0.92586207],0.856830310586315,0.506426869469386
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_5000_checkpoint.pth.tar,3,0.5868973246104799,1.0531580370601372,"[1, 3, 5, 10, 20, 50]",[0.39137931 0.71206897 0.79310345 0.83448276 0.87068966 0.92758621],0.8292844073181928,0.4755599400139633
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_55000_checkpoint.pth.tar,3,0.6029863970374746,1.0322925648641985,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.74655172 0.81896552 0.85172414 0.8862069  0.92758621],0.8509647232056117,0.5096172338145197
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_5_checkpoint.pth.tar,3,0.611145993568771,1.031483005302775,"[1, 3, 5, 10, 20, 50]",[0.48448276 0.76206897 0.82068966 0.86206897 0.9        0.93103448],0.8575416621239342,0.5160416288898293
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_60000_checkpoint.pth.tar,3,0.5954457457393173,1.0076416689636518,"[1, 3, 5, 10, 20, 50]",[0.43275862 0.75689655 0.80689655 0.85       0.88965517 0.92758621],0.85873243666053,0.5153226590876835
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_65000_checkpoint.pth.tar,3,0.6060457315991392,1.0366143957612435,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.74482759 0.80689655 0.85172414 0.88793103 0.92241379],0.8516565356928368,0.5074830447221449
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_70000_checkpoint.pth.tar,3,0.5990836601548082,1.0101329778701293,"[1, 3, 5, 10, 20, 50]",[0.45862069 0.74655172 0.81034483 0.84310345 0.88793103 0.93103448],0.8621002058242347,0.514117611756661
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_75000_checkpoint.pth.tar,3,0.6016157473749338,1.0121728126925411,"[1, 3, 5, 10, 20, 50]",[0.45       0.75       0.81034483 0.85344828 0.89137931 0.92586207],0.8605900794062753,0.512527817843296
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_80000_checkpoint.pth.tar,3,0.5973751354302274,1.0155565942399667,"[1, 3, 5, 10, 20, 50]",[0.45       0.74137931 0.81034483 0.85689655 0.89310345 0.93448276],0.8549048732085601,0.5104629632746323
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_85000_checkpoint.pth.tar,3,0.5954374794470976,1.0091887286164012,"[1, 3, 5, 10, 20, 50]",[0.46034483 0.74655172 0.81206897 0.85862069 0.89310345 0.93103448],0.8632242374613991,0.5112710254494791
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_90000_checkpoint.pth.tar,3,0.6055427176880396,1.024399029687394,"[1, 3, 5, 10, 20, 50]",[0.46551724 0.76034483 0.80689655 0.84482759 0.88793103 0.92586207],0.856476231430878,0.5121942762562953
logs/superpoint_coco_2017_ML22/checkpoints/superPointNet_95000_checkpoint.pth.tar,3,0.6005331461635703,1.008495159094799,"[1, 3, 5, 10, 20, 50]",[0.45       0.74310345 0.8137931  0.85517241 0.89655172 0.92931034],0.8559957744706637,0.5103126260280112
